category,subcategory,title,price,description,rating,reviews,image_url,product_url,page_num
Computers,Laptops,$416.99,416.99,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/31,1
Computers,Laptops,$306.99,306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/32,1
Computers,Laptops,$1178.99,1178.99,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/33,1
Computers,Laptops,$739.99,739.99,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",8 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/34,1
Computers,Laptops,$1311.99,1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",12 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/35,1
Computers,Laptops,$581.99,581.99,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/36,1
Computers,Laptops,$1033.99,1033.99,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",13 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/37,2
Computers,Laptops,$609.99,609.99,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",4 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/38,2
Computers,Laptops,$745.99,745.99,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",12 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/39,2
Computers,Laptops,$1281.99,1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",4 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/40,2
Computers,Laptops,$1244.99,1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/41,2
Computers,Laptops,$520.99,520.99,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",13 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/42,2
Computers,Laptops,$1223.99,1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/43,3
Computers,Laptops,$577.99,577.99,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",10 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/44,3
Computers,Laptops,$399,399.0,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",4 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/45,3
Computers,Laptops,$488.78,488.78,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",14 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/46,3
Computers,Laptops,$564.98,564.98,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",0 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/47,3
Computers,Laptops,$679,679.0,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",9 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/48,3
Computers,Laptops,$679,679.0,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",7 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/49,4
Computers,Laptops,$729,729.0,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",2 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/50,4
Computers,Laptops,$799,799.0,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",7 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/51,4
Computers,Laptops,$809,809.0,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",0 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/52,4
Computers,Laptops,$899,899.0,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",7 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/53,4
Computers,Laptops,$999,999.0,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",11 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/54,4
Computers,Laptops,$1149,1149.0,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",11 reviews,,,https://webscraper.io/test-sites/e-commerce/static/product/55,5
